,PC1_Score,PC1_Score,PC1_Score,Laws_Based_Sharia,Trust_Religious_Leaders,Men_Better_Political_Leadership,Internet_Usage_Frequency,Cluster
,mean,median,std,mean,mean,mean,mean,<lambda>
Country,,,,,,,,
Cntry_1,-0.4623847554829442,-0.5235456140396766,1.3642623432325036,2.534690101757632,2.525439407955597,1.8667900092506937,2.4241443108233116,"{0: 1135, 1: 687, 2: 340}"
Cntry_10,1.4698516313017844,1.624797411986906,1.3090644044076345,3.959983326385994,3.177157148812005,2.9716548561900793,1.6798666110879532,"{1: 1863, 2: 280, 0: 256}"
Cntry_11,0.21359166711774474,0.32031265253776553,1.1886381279917213,2.475049900199601,2.7516966067864272,1.9788423153692616,1.8223552894211577,"{1: 1332, 0: 777, 2: 396}"
Cntry_12,-1.7173202052870993,-1.8251041868597013,1.5894653560486922,1.7445,1.826,2.1655,4.1915,"{0: 1078, 2: 799, 1: 123}"
Cntry_13,-0.6902564474147503,-0.7041065103901788,1.6550159299212386,3.009151414309484,2.3286189683860234,2.5045757071547423,2.7416805324459235,"{0: 1292, 1: 644, 2: 468}"
Cntry_15,0.26375255397663405,0.4508818001633723,1.597205225891222,2.222777777777778,3.0727777777777776,2.1222222222222222,2.0033333333333334,"{1: 885, 0: 543, 2: 372}"
Cntry_19,-0.2581526774764465,-0.3128925753325201,1.776637959007438,2.3463663408414788,2.6595835104122396,1.9804504887377816,3.41606459838504,"{0: 818, 2: 773, 1: 762}"
Cntry_21,0.4650063138296201,0.5000124174741687,1.336704809248294,3.4166666666666665,3.2004166666666665,2.6958333333333333,3.35125,"{2: 1323, 1: 881, 0: 196}"
Cntry_5,-0.4272676184565848,-0.45682942389367664,1.2523021018927292,2.927592954990215,2.5704500978473583,2.1350293542074366,3.829256360078278,"{2: 1233, 0: 446, 1: 365}"
Cntry_7,0.5669463128406497,0.6814987118276341,1.5747826748367448,3.2329268292682927,2.5857723577235774,2.0703252032520325,2.036178861788618,"{1: 1355, 2: 580, 0: 525}"
Cntry_8,0.42273158378578163,0.470638589252076,1.5410727211973907,2.1325552313463945,2.649020425177157,2.055022926219258,1.7819924968736973,"{1: 1214, 2: 637, 0: 548}"
Cntry_9,-0.39605124211834764,-0.43900980484662516,1.5391166597202082,2.298045602605863,2.420195439739414,2.1197068403908794,1.3485342019543973,"{0: 701, 1: 459, 2: 68}"
